Category,Program Name
"Accounting and Financial Management","Accounting and Financial Management (Bachelor of Accounting and Financial Management - Honours)"
"Accounting and Financial Management","Business Analytics Specialization"
"Accounting and Financial Management","Enterprise Performance and Risk Specialization"
"Accounting and Financial Management","Entrepreneurial Mindset Specialization"
"Accounting and Financial Management","Financial Markets Specialization"
"Accounting and Financial Management","Professional Accountant Specialization"
"Actuarial Science","Actuarial Science (Bachelor of Mathematics - Honours)"
"Actuarial Science","Actuarial Science (Joint Honours)"
"Actuarial Science","Actuarial Science Minor"
"Actuarial Science","Finance Specialization"
"Actuarial Science","Predictive Analytics Specialization"
"Addictions, Mental Health, and Policy","Addictions, Mental Health, and Policy Minor"
"Anthropology","Anthropology (Bachelor of Arts - Four-Year General)"
"Anthropology","Anthropology (Bachelor of Arts - Honours)"
"Anthropology","Anthropology (Bachelor of Arts - Three-Year General)"
"Anthropology","Anthropology Minor"
"Anti-Racist Communication","Diploma in Fundamentals of Anti-Racist Communication"
"Applied Mathematics","Applied Mathematics (Bachelor of Mathematics - Honours)"
"Applied Mathematics","Applied Mathematics (Joint Honours)"
"Applied Mathematics","Applied Mathematics Minor"
"Applied Mathematics","Applied Mathematics with Scientific Computing and Scientific Machine Learning (Bachelor of Mathematics - Honours)"
"Applied Mathematics","Biology Specialization"
"Applied Mathematics","Climate and Sustainability Specialization"
"Applied Mathematics","Economics Specialization"
"Applied Mathematics","Engineering Specialization"
"Applied Mathematics","Physics Specialization"
"Arabic","Diploma in Arabic Language I"
"Arabic","Diploma in Arabic Language II"
"Architectural Engineering","Architectural Engineering (Bachelor of Applied Science - Honours)"
"Architectural Engineering","Building Structures Specialization"
"Architectural Engineering","Building Systems Specialization"
"Architectural Studies","Architectural Studies (Bachelor of Architectural Studies - Honours)"
"Arts and Business","Arts and Business"
"Astrophysics","Astrophysics Minor"
"Aviation","Aviation Minor"
"Biochemistry","Biochemistry (Bachelor of Science - Honours)"
"Biochemistry","Biochemistry - Biotechnology Specialization (Bachelor of Science - Honours)"
"Biochemistry","Biochemistry Minor"
"Biological and Medical Physics","Biological and Medical Physics (Bachelor of Science - Honours)"
"Biology","Biology (Bachelor of Science - Honours)"
"Biology","Biology (Joint Honours)"
"Biology","Biology Minor"
"Biomedical Engineering","Biomaterials and Tissues Specialization"
"Biomedical Engineering","Biomechanical and Rehabilitation Engineering Specialization"
"Biomedical Engineering","Biomedical Artificial Intelligence Specialization"
"Biomedical Engineering","Biomedical Engineering (Bachelor of Applied Science - Honours)"
"Biomedical Engineering","Biomedical Imaging Technologies Specialization"
"Biomedical Engineering","Medical Devices Specialization"
"Biomedical Engineering","Neural Engineering Specialization"
"Biomedical Sciences","Biomedical Sciences (Bachelor of Science - Honours)"
"Biophysics","Biophysics Minor"
"Biostatistics","Biostatistics (Bachelor of Mathematics - Honours)"
"Black Studies","Diploma in Black Studies"
"Business Economics","Business Economics Minor"
"Business and Entrepreneurship","Diploma in Business and Entrepreneurship"
"Canadian Politics and Public Policy","Canadian Politics and Public Policy Minor"
"Canadian Studies","Canadian Studies Minor"
"Catholic Studies","Catholic Studies Minor"
"Chemical Engineering","Chemical Engineering (Bachelor of Applied Science - Honours)"
"Chemical Engineering","Chemical Process Modelling, Optimization and Control Specialization"
"Chemical Engineering","Energy and Environmental Systems and Processes Specialization"
"Chemical Engineering","Materials and Manufacturing Processes Specialization"
"Chemistry","Chemistry (Bachelor of Science - Honours)"
"Chemistry","Chemistry (Joint Honours)"
"Chemistry","Chemistry - Computational Specialization (Bachelor of Science - Honours)"
"Chemistry","Chemistry Minor"
"Chinese","Diploma in Chinese Language I"
"Chinese","Diploma in Chinese Language II"
"Church Music and Worship","Church Music and Worship Minor"
"Church Music and Worship","Diploma in Church Music and Worship"
"Civil Engineering","Building Science Specialization"
"Civil Engineering","Civil Engineering (Bachelor of Applied Science - Honours)"
"Civil Engineering","Geotechnical Specialization"
"Civil Engineering","Structural Specialization"
"Civil Engineering","Transportation Specialization"
"Civil Engineering","Water Resources Specialization"
"Classical Studies","Classical Studies (Bachelor of Arts - Four-Year General)"
"Classical Studies","Classical Studies (Bachelor of Arts - Honours)"
"Classical Studies","Classical Studies (Bachelor of Arts - Three-Year General)"
"Classical Studies","Classical Studies Minor"
"Classics","Classics (Bachelor of Arts - Honours)"
"Climate and Environmental Change","Aviation Specialization"
